ELCODE,Group_,CommonName,ScientificName,Terrestrial_Aquatic,BBA_Density,BBA_Other,eBird,SDM,NALCC_Landscape_Capability,NALCC_Suitable_Habitat,EO_Data,CPP,AppLCC_caves,Xerces,Habitat_Associations,PARS,PGC_Databases,Citizen_Science,Notes,F21,F22,F23,F24,F25,F26,OBJECTID,SNAME,Cnt_SNAME,First_TaxaGroup,First_ELCODE,First_SCOMNAME
IITRI33100,Caddisflies,Beloved Rainbow Caddisfly,Agapetus iridis,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,68,,,,,
ARADE01010,Reptiles,Copperhead,Agkistrodon contortrix,Terrestrial,n/a,n/a,n/a,Yes - PNHP SGCN,n/a ,n/a ,n/a,n/a,n/a ,n/a,,Yes,,,,,,,,,,69,,,,,
IIPLE01100,Stoneflies,Stonyfork Snowfly,Allocapnia harperi,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,70,,,,,
IIPLE01310,Stoneflies,Spatulate Snowfly,Allocapnia simmonsi,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,71,,,,,
IMGAS91020,Snails,Broad-banded Forestsnail,Allogona profunda,Terrestrial,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,72,,,,,
IIPLE11030,Stoneflies,Aracoma Sallfly,Alloperla aracoma,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,73,,,,,
IIPLE11050,Stoneflies,Dusky Sallfly,Alloperla biserrata,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,74,,,,,
IIPLE11310,Stoneflies,Duckhead Sallfly,Alloperla concolor,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,75,,,,,
IIPLE11140,Stoneflies,Vernal Sallfly,Alloperla idei,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,76,,,,,
IIPLE11290,Stoneflies,Scotia Sallfly,Alloperla vostoki,Aquatic,n/a,n/a,n/a,n/a,n/a ,n/a ,n/a,n/a,n/a ,n/a,Maybe,n/a ,,iNaturalist,,,,,,,,77,,,,,
